Date,Jammer,Blocker1,Blocker2,Blocker3,Blocker4,Lead,PointsFor,PointsAgainst,TimeToLead
4.4.19,823,5,10,22,404,FALSE,0,4,13
4.4.19,731,8,68,112,666,TRUE,4,0,13
4.4.19,404,5,10,13,724,TRUE,4,0,41
4.4.19,187,8,68,112,666,FALSE,0,4,41
4.4.19,13,22,88,724,823,TRUE,8,0,6
4.4.19,112,68,187,731,906,FALSE,0,8,6
4.4.19,10,5,88,724,823,FALSE,0,1,13
4.4.19,666,8,68,112,187,TRUE,1,0,13
4.4.19,10,13,22,88,404,TRUE,4,0,15
4.4.19,906,8,68,112,666,FALSE,0,4,15
4.4.19,404,5,13,724,823,TRUE,1,0,3
4.4.19,731,112,187,666,906,FALSE,0,1,3
4.4.19,5,10,13,724,823,FALSE,1,4,4
4.4.19,731,112,187,666,906,TRUE,4,1,4
4.4.19,88,10,22,404,724,TRUE,3,0,13
4.4.19,68,8,187,666,906,FALSE,0,3,13
4.4.19,13,10,404,724,823,TRUE,8,4,12
4.4.19,112,187,666,731,906,FALSE,4,8,12
4.4.19,404,5,22,88,823,TRUE,12,0,17
4.4.19,8,68,187,731,906,FALSE,0,12,17
4.4.19,724,5,10,88,823,FALSE,0,4,15
4.4.19,731,68,112,187,666,TRUE,4,0,15
4.4.19,13,5,10,404,724,TRUE,15,0,7
4.4.19,906,68,187,666,731,FALSE,0,15,7
4.4.19,88,5,22,404,823,TRUE,12,4,6
4.4.19,112,8,68,666,731,FALSE,4,12,6
4.4.19,13,5,22,724,823,TRUE,12,1,14
4.4.19,187,8,68,666,906,FALSE,1,12,14
4.4.19,404,5,13,22,724,FALSE,0,5,29
4.4.19,731,8,68,112,906,TRUE,5,0,29
4.4.19,823,5,13,724,823,TRUE,4,0,10
4.4.19,666,8,68,112,906,FALSE,0,4,10
4.4.19,22,5,10,13,404,TRUE,6,4,27
4.4.19,187,8,68,112,666,FALSE,4,6,27
4.4.19,724,13,88,404,823,TRUE,6,0,22
4.4.19,68,112,187,731,906,FALSE,0,6,22
4.4.19,10,5,13,22,88,TRUE,3,1,40
4.4.19,8,68,666,731,906,FALSE,1,3,40
4.4.19,5,88,404,724,823,FALSE,4,20,6
4.4.19,731,68,112,187,666,TRUE,20,4,6
4.4.19,404,10,13,724,823,TRUE,0,4,28
4.4.19,906,8,68,112,187,FALSE,4,0,28
4.4.19,13,5,22,724,823,TRUE,10,0,27
4.4.19,666,8,112,187,906,FALSE,0,10,27
4.4.19,823,5,10,88,724,FALSE,2,0,19
4.4.19,731,8,68,112,906,TRUE,0,2,19
4.4.19,13,5,10,88,724,TRUE,4,0,7
4.4.19,731,68,187,666,906,FALSE,0,4,7
4.4.19,10,5,13,22,88,FALSE,0,0,11
4.4.19,68,112,187,666,906,TRUE,0,0,11
4.4.19,10,5,13,22,88,FALSE,8,8,6
4.4.19,68,112,187,666,906,TRUE,8,8,6
4.11.19,68,68,187,666,906,TRUE,4,0,10
4.11.19,404,5,10,13,42,FALSE,0,4,10
4.11.19,731,68,187,666,906,TRUE,2,0,14
4.11.19,42,5,10,13,404,FALSE,0,2,14
4.11.19,731,68,187,666,906,TRUE,8,12,16
4.11.19,42,5,10,13,724,FALSE,12,8,16
4.11.19,906,68,88,187,666,TRUE,2,0,30
4.11.19,404,5,10,13,724,FALSE,0,2,30
4.11.19,187,68,88,666,731,TRUE,8,2,34
4.11.19,404,5,10,42,724,FALSE,2,8,34
4.11.19,68,88,666,731,906,FALSE,0,1,9
4.11.19,13,5,10,42,724,TRUE,1,0,9
4.11.19,68,88,666,731,906,FALSE,0,4,9
4.11.19,13,5,10,42,724,TRUE,4,0,9
4.11.19,68,187,666,731,906,FALSE,4,2,16
4.11.19,10,13,42,404,731,TRUE,2,4,16
4.11.19,88,68,187,731,906,FALSE,4,2,16
4.11.19,10,13,42,404,731,TRUE,2,4,16
4.11.19,666,68,187,731,906,FALSE,0,0,10
4.11.19,404,10,13,42,724,TRUE,0,0,10
4.11.19,666,68,187,731,906,TRUE,2,0,26
4.11.19,404,10,13,42,724,FALSE,0,2,26
4.11.19,731,68,88,187,906,TRUE,2,0,7
4.11.19,42,5,13,404,724,FALSE,0,2,7
4.11.19,731,68,88,187,666,TRUE,4,0,10
4.11.19,42,5,10,404,724,FALSE,0,4,10
4.11.19,906,68,88,187,666,FALSE,0,3,10
4.11.19,13,5,10,404,724,TRUE,3,0,10
